#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
14,"We Were Rock and Roll","Janelle Monáe",32,130,"alternative r&b","The Electric Lady",2013-09-06,04:19,65,77,1,0,80,0,10,-9,A#/B♭ Minor,4,2024-02-10,4BDb93hwHyVwWbci7CzeDE,3A,USBB41300009
15,"Full Heart Fancy","Lucky Chops",40,110,"","Lucky Chops",2019-09-27,03:55,62,85,3,91,55,0,50,-5,G Minor,4,2024-02-09,5l4wigVYb1alfIkW7HVc1R,6A,USA2P1931325
16,"Bourbon Street Parade","The Dukes Of Dixieland",28,121,"ragtime, swing music","New Orleans Jazz Collection - French Quarter Favorites",2012-11-08,02:34,70,44,63,0,90,0,20,-12,C Minor,4,2024-02-09,4QbweORkjDpipFhhLdEnYR,5A,USA561410936
17,"Take It To The Street","Rebirth Brass Band",24,114,"","Take It To The Street",1992-01-01,04:19,60,57,13,0,65,20,10,-15,F Minor,4,2024-02-09,7mGRGpeaHqgQ7xZrYOdCro,4A,USRO29221151
18,"My Feet Can't Fail Me Now","Dirty Dozen Brass Band",33,128,"","Our New Orleans (Expanded Edition)",2005-12-06,04:38,72,73,34,15,82,10,10,-9,C♯/D♭ Major,4,2024-02-10,5EvUkN9QWfDbSLE4Ybfs0u,3B,USNO12000259
19,"Halftime: Stand Up & Get Up","The Soul Rebels",31,120,"","Nothing But Love - EP",2010-11-10,03:50,84,40,20,1,68,10,10,-13,G Major,4,2024-02-10,59piNvROKkBAdsot8cjz72,9B,US3U51080031
20,"Lollipop","MIKA",60,96,"","Life In Cartoon Motion",2006-01-01,03:03,71,62,4,0,89,0,10,-5,C♯/D♭ Major,4,2024-02-10,2NjhV99ncY4A5lSkTHvTtU,3B,USC7R0600045
21,"Killing Me","Honey Island Swamp Band",4,133,"","Wishing Well",2009-01-01,02:52,66,82,28,0,89,0,0,-5,A Major,4,2024-02-10,4s4NdNUdus4zWH0nnJsFim,11B,us3wz0900004
22,"Two Fingers In The Air","Sean Ardoin,ZydeKool",11,78,"","Pullin'",2001-00-00,02:58,63,81,2,0,91,20,0,-8,C Major,4,2024-02-10,6zx5xycC10qghRb5p0XJS7,8B,UST1R0100509
23,"Bang Bang","Dizzy Gillespie",40,135,"bebop, jazz, hard bop, latin jazz, big band, cool jazz","Talkin' Verve",1997-05-23,03:03,79,53,64,0,63,0,0,-11,D#/E♭ Major,4,2024-02-10,211mkZYf9YaQhlev1Vze5F,5B,USPR36660027
24,"Make Me Feel","Janelle Monáe",61,115,"alternative r&b","Dirty Computer",2018-04-27,03:14,86,41,13,0,70,10,30,-7,C♯/D♭ Major,4,2024-02-10,5gW5dSy3vXJxgzma4rQuzH,3B,USAT21800745
25,"Everybody Needs Somebody to Love","The Blues Brothers",62,194,"blues, blues rock","The Blues Brothers Original Motion Picture Soundtrack",1980-00-00,03:23,49,93,61,0,92,0,30,-4,F Major,4,2024-02-10,1CtKHwDqsH3ctcCCI18N0g,7B,USAT29200092
26,"I Gotta Woman - Bonus Track","Dejan's Olympia Brass Band",18,107,"","Here Come da Great Olympia Band",2009-10-19,06:25,63,63,31,0,81,0,20,-8,C Minor,4,2024-02-10,5k6egEOSbEBGzqCftoeH1J,5A,USRX10517010
27,"Kreyol","Preservation Hall Jazz Band",35,92,"swing music, ragtime, jazz","A Tuba to Cuba",2019-06-28,03:43,88,76,59,82,71,20,0,-6,C Minor,4,2024-02-10,5wAeCI3UlhKvs0RSJKQd9l,5A,USSUB1931008
28,"Traveler","Lucky Chops",25,172,"","Lucky Chops",2019-09-27,03:16,34,90,0,40,44,0,10,-5,F Minor,4,2024-02-10,61dHUNaMqK3pXuDvLfL4YP,4A,USA2P1931323
29,"Karate (feat. KIPP Renaissance High School Marching Band)","Galactic,KIPP Renaissance High School Marching Band",0,106,"jazz funk, funk rock, acid jazz, ","Carnivale Electricos",2012-02-21,03:34,69,83,13,93,83,0,10,-4,F Major,4,2024-02-10,2UsH4hOstNUCkIWKDn8eiz,7B,USEP41108021
30,"Dance Apocalyptic","Janelle Monáe",41,206,"alternative r&b","The Electric Lady",2013-09-06,03:25,58,78,26,0,65,20,20,-8,C Major,4,2024-02-10,3dUMuxNadGxCE3qXuhCwqa,8B,USBB41300016
31,"I Got You (I Feel Good)","James Brown",0,144,"soul, funk, motown","Get On Up - The James Brown Story (Original Motion Picture Soundtrack)",2014-07-29,02:47,56,59,41,0,75,10,10,-7,G Major,4,2024-02-10,6yqThFsiJG2jUEA6jdhruE,9B,USF066500010
32,"Doctor Jazz","Jelly Roll Morton",25,200,"ragtime, jazz, swing music","Doctor Jazz",1994-00-00,03:28,49,41,98,65,92,0,10,-10,G#/A♭ Minor,4,2024-02-10,5LHzQRQpnxXeKMn3pmusSK,1A,USEWJ1092095
33,"Carnival Time","Rebirth Brass Band",22,103,"","Ultimate Rebirth Brass Band",2008-02-25,03:46,68,74,47,36,92,0,0,-11,D#/E♭ Major,4,2024-02-10,7MIooWcuboKjxwNa7YpJRp,5B,US3U50400222
34,"Joshua Fit De Battle of Jericho","Sidney Bechet",39,180,"jazz, swing music, ragtime","Runnin' Wild",1998-01-01,03:21,54,35,72,84,96,0,10,-13,C Minor,4,2024-02-10,6mhzK4YvxzG2MQseaazRGt,5A,USBN29800432
35,"Once In A While","Norbert Susemihl,Jason Marsalis,Erika Lewis,Shaye Cohn",31,104,"swing music, ragtime, americana","Night on Frenchmen Street",2012-01-01,04:31,69,43,78,80,85,0,10,-15,C Major,4,2024-02-10,1LnuXqYUH6jIWSIVyTMF9c,8B,GBSMU1109085
