#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
57,"What's Up Danger (with Black Caviar)","Blackway,Black Caviar",72,95,"","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)",2018-12-14,03:42,70,76,0,0,12,0,10,-6,D Major,4,2023-10-20,5zsHmE2gO3RefVsPyw2e3T,10B,USUM71818369
58,"Intergalactic","Beastie Boys",54,106,"rap rock, east coast hip hop, hip hop","Solid Gold Hits",2005-11-07,03:30,73,88,1,0,36,20,0,-7,D Major,4,2023-10-20,0rVd7bTGtrQUW34xSLzozd,10B,USCA20501213
59,"Vivir Mi Vida","Marc Anthony",78,105,"salsa, salsa romantica, merengue, bachata, latin","3.0",2013-07-23,04:12,66,88,35,0,89,0,30,-3,C Minor,4,2023-10-21,3QHMxEOAGD51PDlbFPHLyJ,5A,USSD11300112
60,"Hate That You Know Me","Bleachers",47,109,"","Gone Now",2017-06-02,03:05,78,56,3,0,55,10,0,-7,G Major,4,2023-10-20,7FqScuVJysPgwVFcepFJks,9B,USRC11700734
61,"Yo Yo","MIKA",44,116,"","Yo Yo",2022-05-13,03:32,72,71,14,0,46,0,0,-6,F Major,4,2023-10-20,1iLizzooWyhDEF3OgiVEoS,7B,USUM72207297
62,"Welcome to the Black Parade","My Chemical Romance",79,97,"emo, pop punk, emo pop","The Black Parade",2006-10-20,05:11,22,91,0,0,24,0,20,-4,D Major,4,2023-10-21,5wQnmLuC1W7ATsArWACrgW,10B,USRE10602613
63,"Touch-A, Touch-A, Touch Me","Susan Sarandon",51,172,"musicals","The Rocky Horror Picture Show - Original Soundtrack",1975-01-10,02:31,36,35,16,0,43,0,10,-14,C♯/D♭ Major,4,2023-10-21,2SK1kGbpABI9EyUbADSP5z,3B,USA560853997
64,"Don't Stop Me Now","Queen",2,156,"classic rock, rock, glam rock","Jazz",1978-11-10,03:29,56,76,6,0,64,10,50,-10,F Major,4,2023-10-21,43DHLzDkncpby82Po5jlOZ,7B,GBCEG7800014
65,"You First","Paramore",59,77,"pop punk, emo, emo pop","This Is Why",2023-02-10,04:05,53,79,0,3,54,0,20,-5,F#/G♭ Major,4,2023-10-21,2ZMkAWKrNDXrQuF0N9Q9Xj,2B,USAT22218171
66,"Slumber Party (feat. Princess Nokia)","Ashnikko,Princess Nokia",74,105,"","DEMIDEVIL",2021-01-15,02:58,96,40,0,0,56,0,10,-9,B Minor,4,2023-10-20,11ZulcYY4lowvcQm4oe3VJ,10A,GBAYE2000706
67,"Ponyboy","SOPHIE",0,108,"hyperpop, art pop, experimental","OIL OF EVERY PEARL'S UN-INSIDES",2018-06-15,03:14,82,38,0,0,46,0,10,-7,C♯/D♭ Major,4,2023-10-20,30lIB7UwSLy5qgkfYZEtB1,3B,AUFF01700124
68,"Heavy In Your Arms","Florence + The Machine",51,80,"baroque pop","Lungs (Deluxe Edition)",2009-00-00,04:45,32,80,51,0,30,0,0,-6,A Minor,4,2023-10-20,3YZ4ccGSysav9mPqbni9JU,8A,GBUM71024262
69,"Strangers","Halsey,Lauren Jauregui",2,110,"","hopeless fountain kingdom (Deluxe)",2017-06-02,03:41,69,78,1,0,28,0,20,-5,B Major,4,2023-10-21,11EDhDAVDtGPoSar6ootYA,1B,USUM71702222
70,"Baby You're a Haunted House","Gerard Way",52,120,"","Baby You're a Haunted House",2018-10-26,02:46,48,98,0,0,72,0,20,-3,C♯/D♭ Major,4,2023-10-21,4c38yr2PflGI2DSIzqsnmF,3B,USRE11800814
71,"THATS WHAT I WANT","Lil Nas X",76,88,"","MONTERO",2021-09-17,02:23,74,85,1,0,55,20,0,-5,C♯/D♭ Minor,4,2023-10-20,0e8nrvls4Qqv5Rfa2UhqmO,12A,USSM12105732
72,"Twin Skeleton's (Hotel In NYC)","Fall Out Boy",54,80,"emo, pop punk, emo pop","American Beauty/American Psycho",2015-01-16,03:40,45,94,0,0,19,10,30,-3,D Minor,4,2023-10-21,2WWP0IPX9xFjAMraNHX390,7A,USUM71417739
73,"Castle","Halsey",66,130,"","BADLANDS (Deluxe)",2015-08-28,04:37,63,57,25,0,16,0,0,-7,G Minor,4,2023-10-20,16w8ZGVSjI4TlTLV8VimBY,6A,USUM71507625
74,"Dum Dum","Jeff Satur",54,91,"t-pop, thai pop","Dum Dum",2023-03-16,03:15,62,44,45,0,54,0,20,-8,E Minor,4,2023-10-21,4XhdM1Ku9JM4abVuRWAsgk,9A,THW092300607
