#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
27,"Gasolina","Daddy Yankee",8,96,"reggaeton, latin","Barrio Fino (Bonus Track Version)",2004-07-13,03:12,86,80,33,0,75,0,0,-6,C Major,4,2023-02-11,6jEZLz3YpnEBRpVkv35AmP,8B,QM6N21759342
28,"Boss Bitch","Doja Cat",77,126,"","Boss Bitch",2020-01-23,02:14,71,96,13,0,57,20,20,-5,A#/B♭ Minor,4,2023-02-11,78qd8dvwea0Gosb6Fe6j3k,3A,USAT21907355
29,"Starships","Nicki Minaj",76,125,"","Pink Friday ... Roman Reloaded",2011-01-01,03:30,75,72,14,0,75,0,20,-2,B Minor,4,2023-02-11,1oHNvJVbFkexQc0BpQp7Y4,10A,USCM51200060
30,"Bailando - Spanish Version","Enrique Iglesias,Descemer Bueno,Gente De Zona",66,91,"latin pop, latin, latin dance","SEX AND LOVE (Deluxe)",2014-03-17,04:03,72,78,4,0,96,10,0,-4,G Major,4,2023-02-11,32lm3769IRfcnrQV11LO4E,9B,GBUM71400955
31,"All The Things She Said","t.A.T.u.",79,180,"","200 KM/H In The Wrong Lane (10th Anniversary Edition)",2002-00-00,03:34,53,83,4,1,38,0,10,-6,F Minor,4,2023-02-08,4bJygwUKrRgq1stlNXcgMg,4A,RUA110100098
32,"Despacito","Luis Fonsi,Daddy Yankee",82,178,"latin, reggaeton","VIDA",2019-02-01,03:49,66,80,20,0,84,10,0,-5,D Major,4,2023-02-11,6habFhsOp2NvshLv26DqMb,10B,USUM71607007
33,"Low (feat. T-Pain)","Flo Rida,T-Pain",84,128,"","Mail on Sunday",2008-03-17,03:51,92,61,9,0,30,0,10,-6,A#/B♭ Minor,4,2023-02-11,0CAfXk7DXMnon4gLudAp7J,3A,USAT20705841
34,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X,Jack Harlow",76,150,"","INDUSTRY BABY (feat. Jack Harlow)",2021-07-23,03:32,74,70,2,0,89,0,0,-7,D#/E♭ Minor,4,2023-02-11,27NovPIUIRrOZoCHxABJwK,2A,USSM12104539
35,"Papaoutai","Stromae",55,116,"french pop","Racine Carrée (Standard US Version)",2013-01-01,03:52,73,81,3,0,25,0,0,-7,A#/B♭ Minor,4,2023-02-08,1QFw2xxyQtgKjlrMCEqsNj,3A,BET671300160
36,"SUBEME LA RADIO","Enrique Iglesias,Descemer Bueno,Zion & Lennox",71,91,"latin pop, latin, reggaeton","SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)",2017-02-24,03:27,69,82,6,0,66,0,20,-3,C Major,4,2023-02-11,7nKBxz47S9SD79N086fuhn,8B,USRC11700058
37,"Boys","Lizzo",63,120,"","Cuz I Love You (Super Deluxe)",2019-04-17,02:52,89,59,0,0,75,10,0,-4,C♯/D♭ Minor,4,2023-02-11,1du4tPkvJfCIuVL6WMtqSs,12A,USAT21802921
38,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake,Selena Gomez,Ozuna,Cardi B",73,96,"pop, reggaeton, trap latino, latin, urbano latino, ","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,03:32,84,80,16,0,62,20,0,-4,G#/A♭ Minor,4,2023-02-11,4w8niZpiMy6qz1mntFA5uM,1A,USUG11801723
